CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,100.0,48.233104665926646,40.83109805491185,52.92684450171097,35.69106033031606,58.77760359540084,54.85507082777406,54.26512704275428,57.925820517466406,82.5566916143766,79.63498318505947,89.71383424976824,32.44257442402873
2011-01,100.0,18.80918401261087,21.577961807574056,24.415281540520727,27.664412232503715,28.84776933456818,23.91051929632732,24.79123050632939,24.564067374163706,38.13134288755039,42.250680277967106,9.02597428065838,
2011-02,100.0,18.365283823589763,26.01102919672165,30.50349600204424,25.387241990698616,21.64081322572798,31.431629799711104,39.490332964529934,35.01918243513569,40.98178934928574,6.70297283954864,,
2011-03,100.0,15.02445944408646,29.51842945337721,21.40081899351607,25.819633292274364,20.00340780794878,32.44839455158586,35.499557254872244,35.6204549648533,6.431760170292431,,,
2011-04,100.0,24.13938208492182,20.553039549365067,19.925557667351185,21.566976834993355,24.75693047632702,23.49695079129883,28.05359537815992,5.204509794901203,,,,
2011-05,100.0,15.054142589371573,16.271671982916235,15.440440250893245,22.450460413051076,26.571793381313608,26.842784321315598,144.43680119977006,,,,,
2011-06,100.0,10.906754273426355,10.428092213997116,22.808985660028753,19.70970868100332,31.5362602625035,6.060977752435762,,,,,,
2011-07,100.0,15.93010264421298,20.989652966849825,23.715398196626776,26.364598424313364,8.20465136616074,,,,,,,
2011-08,100.0,26.283795220679046,44.51559191083817,55.84746495879311,19.16387586654814,,,,,,,,
2011-09,100.0,18.602381896249018,23.8768785061054,7.933991292714166,,,,,,,,,
2011-10,100.0,22.908812273869035,7.223542162121078,,,,,,,,,,
2011-11,100.0,11.189964691960268,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
